French,English
partie,part
histoire,history
seulement,only
police,police
aide,help
genre,kind
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
parle,speak
compris,understood
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
boulot,job
compte,account
donne,given
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
